,degree,coeff name,coeff value,std error,CI lower,CI upper
0,5.0,$\beta$0,0.0775,0.5562,-1.0126,1.1677
1,5.0,$\beta$1,6.5442,0.5506,5.4651,7.6233
2,5.0,$\beta$2,-4.6944,2.8491,-10.2786,0.8899
3,5.0,$\beta$3,-14.5972,1.6039,-17.7408,-11.4535
4,5.0,$\beta$4,-21.9678,2.8124,-27.4801,-16.4555
5,5.0,$\beta$5,10.872,6.1673,-1.216,22.96
6,5.0,$\beta$6,13.3363,3.1302,7.2011,19.4716
7,5.0,$\beta$7,46.7835,3.1077,40.6924,52.8746
8,5.0,$\beta$8,20.4608,6.1127,8.4799,32.4416
9,5.0,$\beta$9,1.7151,6.1094,-10.2593,13.6895
10,5.0,$\beta$10,-28.2881,3.1003,-34.3646,-22.2116
11,5.0,$\beta$11,-13.2902,2.6475,-18.4793,-8.1012
12,5.0,$\beta$12,-41.1398,3.0833,-47.1829,-35.0966
13,5.0,$\beta$13,-2.0759,6.0772,-13.9871,9.8353
14,5.0,$\beta$14,-7.4504,2.272,-11.9035,-2.9973
15,5.0,$\beta$15,24.3469,1.2791,21.8397,26.854
16,5.0,$\beta$16,-15.9894,1.1068,-18.1588,-13.82
17,5.0,$\beta$17,23.4262,1.1079,21.2547,25.5977
18,5.0,$\beta$18,4.3273,1.2748,1.8287,6.8259
19,5.0,$\beta$19,-2.0179,2.264,-6.4554,2.4195
