TIMESTAMP,FORECAST
20131101 1:00,0.3604508821751111
20131101 2:00,0.3658661080200702
20131101 3:00,0.36655075267652654
20131101 4:00,0.36097491379009433
20131101 5:00,0.37453936691114337
20131101 6:00,0.37727404339034704
20131101 7:00,0.3408250995754894
20131101 8:00,0.23204224573767573
20131101 9:00,0.16381364799873704
20131101 10:00,0.038047730957956716
20131101 11:00,0.0007172485289774211
20131101 12:00,0.047876334172067214
20131101 13:00,0.0666907089513803
20131101 14:00,0.030436532050369447
20131101 15:00,-0.020075578642582192
20131101 16:00,0.05323611672901485
20131101 17:00,0.07582389691009503
20131101 18:00,0.09808832011497881
20131101 19:00,0.06935754980512224
20131101 20:00,-0.018467451758218845
20131101 21:00,0.005918055254244672
20131101 22:00,0.08096934949724158
20131101 23:00,0.14112737393460498
20131102 0:00,0.20380363985531974
20131102 1:00,0.43230681594135706
20131102 2:00,0.4817869909652966
20131102 3:00,0.5476398237149893
20131102 4:00,0.6204818221846458
20131102 5:00,0.6487506452091671
20131102 6:00,0.6038505652547645
20131102 7:00,0.5435431708128955
20131102 8:00,0.5166152879631722
20131102 9:00,0.5195394810872085
20131102 10:00,0.46907123733847594
20131102 11:00,0.41869583414133454
20131102 12:00,0.33856691748124834
20131102 13:00,0.4741033163226411
20131102 14:00,0.5737111948822282
20131102 15:00,0.3282227832879374
20131102 16:00,0.37816577035850824
20131102 17:00,0.48470991179093276
20131102 18:00,0.5382175279810477
20131102 19:00,0.47776421387572915
20131102 20:00,0.4025378783091154
20131102 21:00,0.4445585521223427
20131102 22:00,0.5230787307946889
20131102 23:00,0.5148468826681689
20131103 0:00,0.5043833785609753
20131103 1:00,0.44809078994327517
20131103 2:00,0.4580011516861274
20131103 3:00,0.5914702546175639
20131103 4:00,0.6239919209811835
20131103 5:00,0.6027498843420842
20131103 6:00,0.6016546469300712
20131103 7:00,0.5986502108989924
20131103 8:00,0.5944702092974361
20131103 9:00,0.5306517753879254
20131103 10:00,0.46154963478215744
20131103 11:00,0.3956526533074098
20131103 12:00,0.5364682949511479
20131103 13:00,0.5514593744095178
20131103 14:00,0.5903544244266761
20131103 15:00,0.643785397075292
20131103 16:00,0.6824170051318932
20131103 17:00,0.7083299645562753
20131103 18:00,0.7293298279321774
20131103 19:00,0.7443917861141853
20131103 20:00,0.7627975084475553
20131103 21:00,0.7975615579927391
20131103 22:00,0.8624660010133376
20131103 23:00,0.8016701874569054
20131104 0:00,0.7100988895490468
20131104 1:00,0.6658586031183398
20131104 2:00,0.5812205240166548
20131104 3:00,0.5107597686327574
20131104 4:00,0.43506748421097224
20131104 5:00,0.39660596008450866
20131104 6:00,0.3880602304922265
20131104 7:00,0.38993292212068614
20131104 8:00,0.4046562868353744
20131104 9:00,0.3046207010336977
20131104 10:00,0.3438561688054346
20131104 11:00,0.41142362419950285
20131104 12:00,0.45505762127406707
20131104 13:00,0.4864598215239159
20131104 14:00,0.5157612022316351
20131104 15:00,0.5378908619649012
20131104 16:00,0.5751099174508492
20131104 17:00,0.6091935983101282
20131104 18:00,0.5986276700626036
20131104 19:00,0.5714093425693316
20131104 20:00,0.5535159057030905
20131104 21:00,0.6259239092521194
20131104 22:00,0.6861514009222207
20131104 23:00,0.7025054487308684
20131105 0:00,0.6163765529921943
20131105 1:00,0.4372578303364902
20131105 2:00,0.33615168899090986
20131105 3:00,0.26185580520726415
20131105 4:00,0.2066899112123481
20131105 5:00,0.16319082127655918
20131105 6:00,0.11362542850706295
20131105 7:00,0.09643294083400555
20131105 8:00,0.17176799741399018
20131105 9:00,0.2550224961148471
20131105 10:00,0.33285206734911926
20131105 11:00,0.3264212735564928
20131105 12:00,0.3188434070231794
20131105 13:00,0.32415231667061944
20131105 14:00,0.32870901256636337
20131105 15:00,0.32981221864479593
20131105 16:00,0.31063323020287054
20131105 17:00,0.2980694178781888
20131105 18:00,0.3086378555382191
20131105 19:00,0.32535289934074724
20131105 20:00,0.33660310021066103
20131105 21:00,0.4161670468217084
20131105 22:00,0.42931732368523806
20131105 23:00,0.4861736056156976
20131106 0:00,0.4839909058096205
20131106 1:00,0.3860116759930129
20131106 2:00,0.31493735330205747
20131106 3:00,0.2658675633727838
20131106 4:00,0.24904811595173254
20131106 5:00,0.25063428234441004
20131106 6:00,0.24601842973424992
20131106 7:00,0.23376887429297427
20131106 8:00,0.16888680003672557
20131106 9:00,0.1693858254506082
20131106 10:00,0.1402038938275631
20131106 11:00,0.26512762743182194
20131106 12:00,0.2450002382764374
20131106 13:00,0.3774541338072758
20131106 14:00,0.4625200669688572
20131106 15:00,0.5008524305447744
20131106 16:00,0.47122575274739437
20131106 17:00,0.35827176544191996
20131106 18:00,0.23316676575041806
20131106 19:00,0.18821723933379747
20131106 20:00,0.20676255973049673
20131106 21:00,0.26600991775164395
20131106 22:00,0.14948261720536185
20131106 23:00,0.11297205431491364
20131107 0:00,0.25004184433380355
20131107 1:00,0.3563275134707454
20131107 2:00,0.4258889153413497
20131107 3:00,0.3366751426395014
20131107 4:00,0.4025765779064683
20131107 5:00,0.4884645230177755
20131107 6:00,0.5974442674541964
20131107 7:00,0.7927127714291908
20131107 8:00,0.7094868633753659
20131107 9:00,0.4142664688695837
20131107 10:00,0.13097557386348446
20131107 11:00,-0.04547943003581445
20131107 12:00,0.36379591316946885
20131107 13:00,0.3968366028906076
20131107 14:00,0.4299226390861796
20131107 15:00,0.24468026123593078
20131107 16:00,0.5727306888804644
20131107 17:00,0.6407948821453708
20131107 18:00,0.6851925396484275
20131107 19:00,0.6427572330154927
20131107 20:00,0.6712163377654823
20131107 21:00,0.666160673584361
20131107 22:00,0.7385059147766506
20131107 23:00,0.7892039608927086
